shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
M2,29.9816,31.211557,0
M2,29.984286,31.210055,1
M2,29.986144,31.209358,2
M2,29.98752,31.209047,3
M2,29.989657,31.208864,4
M2,29.994666,31.208704,5
M2,29.999962,31.208521,6
M2,30.005425,31.208124,7
M2,30.007571,31.208135,8
M2,30.010005,31.20747,9
M2,30.011947,31.206418,10
M2,30.013201,31.20556,11
M2,30.015292,31.204809,12
M2,30.019045,31.203457,13
M2,30.027498,31.200689,14
M2,30.030944,31.199305,15
M2,30.032272,31.198575,16
M2,30.03321,31.198103,17
M2,30.033749,31.198221,18
M2,30.03543,31.199852,19
M2,30.035779,31.20026,20
M2,30.036526,31.203693,21
M2,30.037998,31.210404,22
M2,30.038792,31.214052,23
M2,30.039666,31.218188,24
M2,30.040079,31.220854,25
M2,30.040427,31.222292,26
M2,30.04221,31.225483,27
M2,30.043209,31.227533,28
M2,30.043729,31.232377,29
M2,30.043929,31.235622,30
M2,30.044453,31.239989,31
M2,30.04469,31.242043,32
M2,30.044883,31.243669,33
M2,30.044913,31.243993,34
M2,30.045598,31.244345,35
M2,30.046517,31.244785,36
M2,30.048405,31.245686,37
M2,30.049118,31.246032,38
M2,30.050376,31.246627,39
M2,30.050731,31.246804,40
M2,30.052329,31.246853,41
M2,30.053074,31.24685,42
M2,30.054776,31.246684,43
M2,30.055458,31.246576,44
M2,30.056517,31.246324,45
M2,30.058574,31.246367,46
M2,30.059604,31.246303,47
M2,30.061299,31.246297,48
M2,30.061647,31.246287,49
M2,30.062455,31.245536,50
M2,30.063237,31.244817,51
M2,30.064897,31.245066,52
M2,30.06534,31.245125,53
M2,30.06625,31.245117,54
M2,30.068112,31.245082,55
M2,30.070338,31.245039,56
M2,30.072123,31.245053,57
M2,30.073527,31.245066,58
M2,30.074837,31.245042,59
M2,30.076276,31.24512,60
M2,30.077292,31.245155,61
M2,30.078051,31.245179,62
M2,30.078859,31.245249,63
M2,30.080008,31.245372,64
M2,30.081356,31.245436,65
M2,30.082714,31.245461,66
M2,30.083881,31.245495,67
M2,30.085474,31.245514,68
M2,30.086581,31.245557,69
M2,30.087439,31.245528,70
M2,30.088546,31.245436,71
M2,30.089853,31.245361,72
M2,30.091143,31.245085,73
M2,30.092459,31.245112,74
M2,30.093132,31.245139,75
M2,30.094121,31.24519,76
M2,30.095655,31.245214,77
M2,30.097063,31.245233,78
M2,30.09798,31.245404,79
M2,30.098929,31.245418,80
M2,30.100208,31.245431,81
M2,30.101347,31.245418,82
M2,30.102433,31.24545,83
M2,30.103368,31.245541,84
M2,30.104415,31.246507,85
M2,30.105002,31.246729,86
M2,30.10557,31.246558,87
M2,30.10673,31.246171,88
M2,30.107568,31.246372,89
M2,30.108311,31.246606,90
M2,30.108756,31.24682,91
M2,30.109912,31.247368,92
M2,30.111111,31.247904,93
M2,30.112174,31.248153,94
M2,30.112552,31.248226,95
M2,30.113775,31.248642,96
M2,30.114942,31.249065,97
M2,30.115526,31.249183,98
M2,30.116464,31.24899,99
M2,30.117782,31.247971,100
M2,30.119202,31.246791,101
M2,30.119795,31.246523,102
M2,30.120464,31.246308,103
M2,30.120955,31.246094,104
